ID,Transaction
1,"Diapers, Milk, Eggs"
2,"Shampoo, Toothpaste, Dish soap"
3,"Cereal, Milk, T-shirt"
4,"Socks, Laundry detergent, Shampoo"
5,"Diapers, Shampoo"
6,"Eggs, Cereal, Dish soap"
7,"Toothpaste, Milk, Diapers"
8,"Laundry detergent, Socks, Eggs"
9,"Shampoo, Cereal, Milk"
10,"Toothpaste, Dish soap"
11,"Diapers, Cereal, Eggs"
12,"Socks, Laundry detergent, Milk"
13,"Toothpaste, Eggs, Shampoo"
14,"Dish soap, Diapers, Cereal"
15,"Shampoo, Milk, Laundry detergent"
16,"T-shirt, Cereal, Toothpaste"
17,"Eggs, Milk, Dish soap"
18,"Diapers, Toothpaste, Socks"
19,"Cereal, Laundry detergent, Shampoo"
20,"Eggs, Dish soap, T-shirt"
